year,round,market,subject,line,prob,actual
2025,1,player_disposals,Jeremy Sharp,15.0,0.7209876543209874,1
2025,1,player_disposals,Jeremy Sharp,20.0,0.3836553945249599,0
2025,1,player_disposals,Jeremy Sharp,25.0,0.150253807106599,0
2025,1,player_goals,Jeremy Sharp,1.0,0.3315240083507306,0
2025,1,player_goals,Jeremy Sharp,2.0,0.0663744520976832,0
2025,1,player_marks,Jeremy Sharp,4.0,0.8704663212435233,0
2025,1,player_marks,Jeremy Sharp,6.0,0.4758620689655172,0
2025,1,player_tackles,Jeremy Sharp,3.0,0.0884814667198087,1
2025,1,player_disposals,Luke Jackson,15.0,0.4064070351758794,1
2025,1,player_disposals,Luke Jackson,20.0,0.1400795404330535,0
2025,1,player_goals,Luke Jackson,1.0,0.4644464446444644,0
2025,1,player_goals,Luke Jackson,2.0,0.1499522445081184,0
2025,1,player_marks,Luke Jackson,4.0,0.2640664961636828,0
2025,1,player_tackles,Luke Jackson,3.0,0.6020025031289111,1
2025,1,player_tackles,Luke Jackson,5.0,0.0884814667198087,0
2025,1,player_disposals,Heath Chapman,15.0,0.5329512893982808,0
2025,1,player_disposals,Heath Chapman,20.0,0.2135350987810004,0
2025,1,player_disposals,Heath Chapman,25.0,0.0798502807236431,0
2025,1,player_goals,Heath Chapman,1.0,0.1177446102819237,0
2025,1,player_marks,Heath Chapman,4.0,0.8206896551724137,0
2025,1,player_marks,Heath Chapman,6.0,0.4414545454545454,0
2025,1,player_tackles,Heath Chapman,3.0,0.2057912871322041,0
2025,1,h2h,Sydney,,0.3943333333333333,0
2025,1,h2h,Brisbane Lions,,0.5945,1
2025,1,total_points,total,170.5,0.4405833333333333,0
2025,1,player_disposals,Isaac Heeney,15.0,0.7915218902015289,1
2025,1,player_disposals,Isaac Heeney,20.0,0.4363207547169811,1
2025,1,player_disposals,Isaac Heeney,25.0,0.1690240452616691,0
2025,1,player_goals,Isaac Heeney,1.0,0.6682832201745876,1
2025,1,player_goals,Isaac Heeney,2.0,0.3315240083507306,1
2025,1,player_marks,Isaac Heeney,4.0,0.6628621597892889,1
2025,1,player_marks,Isaac Heeney,6.0,0.230712711241734,1
2025,1,player_tackles,Isaac Heeney,3.0,0.7171052631578948,0
2025,1,player_tackles,Isaac Heeney,5.0,0.1238410596026489,0
2025,1,player_disposals,Chad Warner,15.0,0.8986409966024915,1
2025,1,player_disposals,Chad Warner,20.0,0.6043587594300083,1
2025,1,player_disposals,Chad Warner,25.0,0.2836943441636582,0
2025,1,player_goals,Chad Warner,1.0,0.4670704012112036,1
2025,1,player_goals,Chad Warner,2.0,0.1661303298471439,1
2025,1,player_marks,Chad Warner,4.0,0.5357757560855667,1
2025,1,player_marks,Chad Warner,6.0,0.1637426900584795,0
2025,1,player_tackles,Chad Warner,3.0,0.4124775583482944,0
2025,1,player_disposals,Nick Blakey,15.0,0.7396593673965937,1
2025,1,player_disposals,Nick Blakey,20.0,0.3836553945249599,1
2025,1,player_disposals,Nick Blakey,25.0,0.1400795404330535,0
2025,1,player_goals,Nick Blakey,1.0,0.1661303298471439,0
2025,1,player_marks,Nick Blakey,4.0,0.7943067033976124,1
2025,1,player_marks,Nick Blakey,6.0,0.4060822898032201,0
2025,1,player_tackles,Nick Blakey,3.0,0.0712742980561555,0
2025,1,player_disposals,Oliver Florent,15.0,0.7209876543209874,1
2025,1,player_disposals,Oliver Florent,20.0,0.3258196721311475,0
2025,1,player_disposals,Oliver Florent,25.0,0.1304926764314247,0
2025,1,player_goals,Oliver Florent,1.0,0.1985645933014354,0
2025,1,player_marks,Oliver Florent,4.0,0.6857142857142857,0
2025,1,player_marks,Oliver Florent,6.0,0.2640664961636828,0
2025,1,player_tackles,Oliver Florent,3.0,0.1190681622088006,1
2025,1,player_disposals,Jake Lloyd,15.0,0.8654761904761905,1
2025,1,player_disposals,Jake Lloyd,20.0,0.5777414075286416,0
2025,1,player_disposals,Jake Lloyd,25.0,0.2836943441636582,0
2025,1,player_goals,Jake Lloyd,1.0,0.2360801781737193,1
2025,1,player_marks,Jake Lloyd,4.0,0.9012658227848102,1
2025,1,player_marks,Jake Lloyd,6.0,0.6266601082144612,0
2025,1,player_tackles,Jake Lloyd,3.0,0.3627906976744186,0
2025,1,player_disposals,James Rowbottom,15.0,0.6948798328108673,0
2025,1,player_disposals,James Rowbottom,20.0,0.2836943441636582,0
2025,1,player_disposals,James Rowbottom,25.0,0.0960735171261487,0
2025,1,player_goals,James Rowbottom,1.0,0.2460152460152459,0
2025,1,player_marks,James Rowbottom,4.0,0.1685678073510773,0
2025,1,player_tackles,James Rowbottom,5.0,0.6719524281466799,1
